"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","umd_tree_cover_loss_from_fires__ha"
"ESP",12,2001,8700.49489276240324619,1039.163056206719069054
"ESP",12,2002,10416.597912422923624071,2271.879900659445096820
"ESP",12,2003,4315.377146120511192950,504.531019626024378026
"ESP",12,2004,15337.19109379647169471,3345.148958965921576386
"ESP",12,2005,10222.51223492605764445,1925.36906288495243930
"ESP",12,2006,24271.10528439632202216,9241.003498003315403496
"ESP",12,2007,20938.056928225881810891,2069.83247087399931522
"ESP",12,2008,18785.770061943952344236,829.68441677317521123
"ESP",12,2009,24994.068892709683932904,1105.13540075171244299
"ESP",12,2010,20786.847454436935879577,1616.682621096303178614
"ESP",12,2011,17796.64714876535244105,1661.36461372790749660
"ESP",12,2012,29666.906187953240175425,8176.412955759099183869
"ESP",12,2013,20571.803573260363472879,3420.15386563782563808
"ESP",12,2014,29412.99166539452746531,2369.331619836628322341
"ESP",12,2015,24340.690090081376562951,2710.055534566895230841
"ESP",12,2016,39821.096638058759389982,8005.087913296427262872
"ESP",12,2017,47999.27491369004910275,19099.72502852751910764
"ESP",12,2018,44679.445562110820620294,7304.505413228550984406
"ESP",12,2019,28571.33260397080210042,1906.06800204860473098
"ESP",12,2020,34818.538990035577700885,3508.39392995935419027
"ESP",12,2021,34857.54569798662682673,3743.63698515314268700
"ESP",12,2022,48359.52742808445257830,23191.729091565228852245
"ESP",12,2023,26990.847938942306691538,1903.499150752512115956
